date,actual,predicted
2016-09-12,805.0,658.2616031169891
2016-09-13,688.0,721.6978334784508
2016-09-14,761.0,754.4306479096413
2016-09-15,662.0,740.2421631217003
2016-09-16,832.0,678.7452478408813
2016-09-17,602.0,602.7460390627384
2016-09-18,243.0,251.57678854465485
2016-09-19,742.0,697.1881718337536
2016-09-20,776.0,737.1192052960396
2016-09-21,787.0,760.8235053420067
2016-09-22,626.0,744.9129538536072
2016-09-23,718.0,679.5119951963425
2016-09-24,545.0,594.1380293369293
2016-09-25,268.0,239.73133791983128
2016-09-26,652.0,691.8634110689163
2016-09-27,551.0,725.7308217287064
2016-09-28,753.0,739.0336015820503
2016-09-29,542.0,721.55860465765
2016-09-30,819.0,655.5281497836113
2016-10-01,768.0,578.4766163527966
2016-10-02,343.0,252.57932505011559
2016-10-03,833.0,706.3159164190292
2016-10-04,778.0,753.8843132257462
2016-10-05,1008.0000000000001,774.5220193862915
2016-10-06,692.0,766.4484288096428
2016-10-07,700.0,697.0919081568718
2016-10-08,698.0,594.1609704494476
2016-10-09,294.0,217.5775653719902
2016-10-10,675.0,664.7598215639591
2016-10-11,625.0,712.9811995625496
2016-10-12,818.0,737.3559338450432
2016-10-13,596.0,726.891523361206
2016-10-14,731.0,671.4753378331661
2016-10-15,603.0,602.4357407391071
2016-10-16,324.0,263.23151645064354
2016-10-17,813.0,721.4618960022926
2016-10-18,827.0,756.0777604579926
2016-10-19,787.0,775.2413023710251
2016-10-20,639.0,753.457529425621
2016-10-21,747.0,685.4805409312248
2016-10-22,714.0,598.678144723177
2016-10-23,301.0,242.46659588813782
2016-10-24,604.0,693.2721140384674
2016-10-25,712.0,732.7460557222366
2016-10-26,732.0,750.9941285848618
2016-10-27,716.0,729.3703995645046
2016-10-28,766.0,670.2947110533714
2016-10-29,630.0,596.7619190812111
2016-10-30,325.0,258.3561345040798
2016-10-31,625.0,716.7649009823799
2016-11-01,889.0,745.5670722126961
2016-11-02,282.0,762.1728778481483
2016-11-03,244.0,720.0318340659142
2016-11-04,456.00000000000006,627.9765163958073
2016-11-05,452.0,530.2451027333736
2016-11-06,262.0,200.32382163405418
2016-11-07,794.0,645.5593464374542
2016-11-08,886.9999999999999,705.5736923217773
2016-11-09,1275.0,741.7882161140442
