date,actual,predicted
2016-09-12,854.9999999999999,723.7661390304565
2016-09-13,703.0,772.6616549491882
2016-09-14,773.0,792.1921319961548
2016-09-15,674.0000000000001,748.9460048675537
2016-09-16,834.0,714.9899082183838
2016-09-17,789.0,701.1743903160095
2016-09-18,419.0,435.5702691078186
2016-09-19,751.0,748.5692939758301
2016-09-20,758.0,783.209135055542
2016-09-21,895.0,776.4102115631104
2016-09-22,623.0000000000001,731.8902068138123
2016-09-23,737.0,702.2528314590454
2016-09-24,793.0,684.512864112854
2016-09-25,382.0,413.02642357349396
2016-09-26,750.0,743.6768674850464
2016-09-27,664.9999999999999,760.1050028800964
2016-09-28,932.0,756.297956943512
2016-09-29,539.0,725.6556415557861
2016-09-30,740.0,702.9365758895874
2016-10-01,1004.0,683.6387107372284
2016-10-02,415.99999999999994,427.3640613555908
2016-10-03,835.0,737.2994070053101
2016-10-04,806.0,771.4651021957397
2016-10-05,924.0,761.332004070282
2016-10-06,691.0,708.1218738555908
2016-10-07,793.0,690.944990158081
2016-10-08,880.0,680.2367706298828
2016-10-09,438.0,422.04556918144226
2016-10-10,729.0,729.3465585708618
2016-10-11,692.9999999999999,767.9833588600159
2016-10-12,993.9999999999999,778.3212404251099
2016-10-13,692.9999999999999,732.8220705986023
2016-10-14,940.0,734.6249012947083
2016-10-15,787.0,734.0922660827637
2016-10-16,430.0,468.858553647995
2016-10-17,792.0,778.9768023490906
2016-10-18,706.0,810.0775437355042
2016-10-19,958.0,798.6940770149231
2016-10-20,683.0,749.201630115509
2016-10-21,771.0,727.655749797821
2016-10-22,853.0,714.604700088501
2016-10-23,401.0,461.4737455844879
2016-10-24,755.0,761.393609046936
2016-10-25,803.0,804.4302792549133
2016-10-26,884.0,812.0011768341064
2016-10-27,756.0,750.7822580337524
2016-10-28,863.0,730.2212076187134
2016-10-29,770.0,703.5483770370483
2016-10-30,388.00000000000006,456.60592567920685
2016-10-31,539.0,760.1368675231934
2016-11-01,799.0000000000001,786.2556781768799
2016-11-02,306.99999999999994,786.5329713821411
2016-11-03,283.0,709.9139413833618
2016-11-04,542.0,674.2320556640625
2016-11-05,549.0,657.8831570148468
2016-11-06,335.0,402.3058830499649
2016-11-07,880.0,720.5520586967468
2016-11-08,809.0,745.8336081504822
2016-11-09,1161.0,719.3964343070984
2016-11-10,701.9999999999999,667.4589779376984
2016-11-11,803.9999999999999,628.079377412796
2016-11-12,857.0,596.1410207748413
2016-11-13,391.0,334.82775700092316
2016-11-14,831.0,614.9932765960693
2016-11-15,862.0,667.6631948947906
2016-11-16,936.0,637.6900370121002
2016-11-17,685.0,664.6116242408752
2016-11-18,845.0,687.122790813446
2016-11-19,881.0,699.3416776657104
2016-11-20,389.0,491.43352031707764
2016-11-21,952.0000000000001,808.5137686729431
2016-11-22,707.0,844.138156414032
2016-11-23,983.0,838.6910018920898
2016-11-24,653.0,759.6920371055603
2016-11-25,711.0000000000001,733.4415192604065
2016-11-26,809.0,716.2637858390808
2016-11-27,350.0,476.575709939003
2016-11-28,883.0,786.19180727005
2016-11-29,740.0,820.7825059890747
2016-11-30,884.0,802.9047417640686
2016-12-01,844.0,748.083393573761
2016-12-02,915.0000000000001,727.469943523407
2016-12-03,756.0,708.8845009803772
2016-12-04,435.0,460.53065836429596
2016-12-05,655.0,771.1553778648376
2016-12-06,313.0,778.4258980751038
2016-12-07,969.0,764.107626914978
2016-12-08,740.0,701.687198638916
2016-12-09,846.0,686.5815167427063
2016-12-10,758.0,687.0468821525574
2016-12-11,359.0,454.998743891716
2016-12-12,764.0,768.5378036499023
2016-12-13,780.9999999999999,789.9084992408752
2016-12-14,836.0,785.435694694519
2016-12-15,835.0,734.0133833885193
2016-12-16,886.0,689.5770764350891
2016-12-17,831.9999999999999,662.5872280597687
2016-12-18,531.0,431.1266030073166
2016-12-19,864.0000000000001,711.1104941368103
2016-12-20,924.0,759.5555148124695
2016-12-21,1062.0,818.1507697105408
2016-12-22,985.0,762.7062907218933
2016-12-23,1225.0,736.264301776886
2016-12-24,934.0,724.4616379737854
2016-12-25,0.0,499.5382568836212
2016-12-26,257.0,781.914722442627
2016-12-27,835.0,808.5156097412109
2016-12-28,712.0,806.8760676383972
2016-12-29,652.0,775.0438556671143
2016-12-30,882.0,746.5578560829163
2016-12-31,631.0,738.9192638397217
2017-01-01,0.0,537.173268198967
2017-01-02,376.0,835.6317129135132
2017-01-03,1045.0,877.0941281318665
2017-01-04,1029.0,884.5656080245972
2017-01-05,853.0,847.4726142883301
2017-01-06,927.0,815.5640687942505
2017-01-07,836.0,773.2710485458374
2017-01-08,447.0,455.21152889728546
2017-01-09,853.0,804.2152991294861
2017-01-10,923.0,906.5649576187134
2017-01-11,958.0,868.7458748817444
2017-01-12,674.0000000000001,823.5164923667908
2017-01-13,840.9999999999999,783.6179938316345
2017-01-14,903.0,744.022705078125
2017-01-15,466.0,409.70782721042633
2017-01-16,782.0,749.8689465522766
2017-01-17,819.0,881.6264133453369
2017-01-18,926.0,867.1353650093079
2017-01-19,811.0,833.1383399963379
2017-01-20,688.0000000000001,818.179660320282
2017-01-21,918.0,793.5906357765198
2017-01-22,349.0,471.34318149089813
2017-01-23,956.0,777.1943650245667
2017-01-24,744.0,825.2206134796143
2017-01-25,930.0,822.6152186393738
2017-01-26,719.0,795.9110898971558
2017-01-27,810.0,800.7778830528259
2017-01-28,881.0,789.2433071136475
2017-01-29,329.0,456.4832113981247
2017-01-30,840.9999999999999,747.4400110244751
2017-01-31,749.0,799.9063496589661
2017-02-01,937.0,811.7084469795227
2017-02-02,768.0,788.5531897544861
2017-02-03,875.0,773.4660601615906
2017-02-04,890.0,778.5771489143372
2017-02-05,380.0,437.00038969516754
2017-02-06,768.0,755.0729384422302
2017-02-07,839.0,775.0520696640015
2017-02-08,871.0,802.0228700637817
2017-02-09,733.0,777.3718156814575
2017-02-10,803.9999999999999,776.4815883636475
2017-02-11,850.0000000000001,769.0776615142822
2017-02-12,374.00000000000006,433.9826309680939
2017-02-13,945.0,749.5209846496582
2017-02-14,762.0000000000001,797.3086023330688
2017-02-15,863.0,824.5753898620605
2017-02-16,725.0000000000001,794.7941279411316
2017-02-17,840.0,783.7215185165405
2017-02-18,963.0,768.1841769218445
2017-02-19,366.0,438.8796247243881
2017-02-20,742.0,746.8048424720764
2017-02-21,780.0,796.240357875824
2017-02-22,766.0,799.8131632804871
2017-02-23,738.0,776.0022025108337
2017-02-24,791.0,770.6373295783997
2017-02-25,705.0,763.5537486076355
2017-02-26,227.0,434.9124766588211
2017-02-27,183.0,752.6864891052246
2017-02-28,361.0,744.7931213378906
2017-03-01,1162.0,735.1879849433899
2017-03-02,848.0,721.896321773529
2017-03-03,890.0,726.5734848976135
2017-03-04,898.0,719.7929720878601
2017-03-05,345.0,374.88306498527527
2017-03-06,785.0,674.1921186447144
2017-03-07,748.0000000000001,715.2496404647827
2017-03-08,854.0,717.1442413330078
2017-03-09,721.0,706.4970602989197
2017-03-10,858.0,695.9417910575867
2017-03-11,889.0,688.8135995864868
2017-03-12,415.0,358.6583322286606
2017-03-13,815.0,619.3669466972351
2017-03-14,783.0,772.4747157096863
2017-03-15,953.0,863.2587833404541
2017-03-16,794.0,799.0523772239685
2017-03-17,1118.0,776.9997782707214
2017-03-18,919.9999999999999,767.3861446380615
2017-03-19,423.0,440.18887209892273
2017-03-20,861.0,751.2811875343323
2017-03-21,787.0,803.2682819366455
2017-03-22,921.0,825.6058216094971
2017-03-23,761.0,810.1143651008606
2017-03-24,936.0,806.3349351882935
2017-03-25,942.9999999999999,797.4742984771729
2017-03-26,399.0,484.43947899341583
2017-03-27,854.9999999999999,793.5655689239502
2017-03-28,805.0,846.489767074585
2017-03-29,956.0,868.4641914367676
2017-03-30,756.0,841.8675527572632
2017-03-31,949.0,829.3008456230164
2017-04-01,1151.0,791.5498824119568
2017-04-02,445.99999999999994,477.8421878814697
2017-04-03,794.0,787.5506572723389
2017-04-04,725.0000000000001,829.1293430328369
2017-04-05,1074.0,842.9761590957642
2017-04-06,690.0,820.8231511116028
2017-04-07,942.9999999999999,808.2465305328369
2017-04-08,897.0,789.372889995575
2017-04-09,393.0,472.6862407922745
2017-04-10,744.0,786.068172454834
2017-04-11,724.0,830.5594282150269
2017-04-12,955.0,846.8245582580566
2017-04-13,913.0,821.5236067771912
2017-04-14,357.0,821.6679182052612
2017-04-15,563.0,788.5421433448792
2017-04-16,324.0,443.33646154403687
2017-04-17,774.0,750.3858618736267
2017-04-18,691.0,788.3392009735107
2017-04-19,801.0,803.4108939170837
2017-04-20,666.0,741.6654295921326
2017-04-21,1078.0,736.4210758209229
2017-04-22,884.0,720.5322318077087
2017-04-23,390.0,400.8290630578995
2017-04-24,831.9999999999999,709.5746183395386
2017-04-25,669.0,750.3579626083374
2017-04-26,831.9999999999999,754.9735207557678
2017-04-27,734.0,703.8961973190308
2017-04-28,867.0,661.8038535118103
2017-04-29,809.0,703.9614844322205
2017-04-30,315.0,416.5119198560715
2017-05-01,326.0,731.3696093559265
2017-05-02,897.0,755.4721670150757
2017-05-03,927.0,772.2379260063171
2017-05-04,755.0,756.3568711280823
2017-05-05,882.0,756.4351873397827
2017-05-06,919.0,718.3087878227234
2017-05-07,355.0,405.17253255844116
2017-05-08,852.0,715.4362964630127
2017-05-09,780.0,746.8549761772156
2017-05-10,905.9999999999999,772.1100425720215
2017-05-11,721.0,751.7625560760498
2017-05-12,857.0,740.2779722213745
2017-05-13,939.0,725.3307638168335
2017-05-14,299.0,416.3591111898422
2017-05-15,710.0,709.6855072975159
2017-05-16,794.0,825.9032249450684
2017-05-17,828.0,815.0580582618713
2017-05-18,718.0,777.0568513870239
2017-05-19,956.9999999999999,762.3993988037109
2017-05-20,795.0,750.5191268920898
2017-05-21,337.00000000000006,439.64048159122467
2017-05-22,754.0,764.6037240028381
2017-05-23,736.0,792.759181022644
2017-05-24,867.0,795.3667001724243
2017-05-25,723.0,758.8397641181946
2017-05-26,375.0,747.4836301803589
2017-05-27,634.0,719.7361822128296
2017-05-28,319.0,391.40930807590485
2017-05-29,817.9999999999999,716.5912127494812
2017-05-30,641.0,760.6903209686279
2017-05-31,912.0,751.1416912078857
2017-06-01,801.0,723.8624410629272
2017-06-02,792.0,712.439887046814
2017-06-03,862.0,679.3585102558136
2017-06-04,357.99999999999994,369.1377282142639
2017-06-05,769.0,683.3163113594055
2017-06-06,831.9999999999999,712.9541115760803
2017-06-07,842.0,713.9638667106628
2017-06-08,648.0,674.7200095653534
2017-06-09,919.9999999999999,654.4781012535095
2017-06-10,785.0,694.5741605758667
2017-06-11,410.0,413.1003849506378
2017-06-12,746.0,735.8669142723083
2017-06-13,712.0,769.4499821662903
2017-06-14,792.0,795.214316368103
2017-06-15,811.0,755.8653059005737
2017-06-16,779.0,733.0537619590759
2017-06-17,865.0,723.9855093955994
2017-06-18,347.0,426.2452937364578
2017-06-19,664.9999999999999,748.0586099624634
2017-06-20,707.0,782.5906777381897
2017-06-21,810.0,767.9653730392456
2017-06-22,713.0,733.4708347320557
2017-06-23,834.0,728.3635697364807
2017-06-24,795.0,706.3523240089417
2017-06-25,300.00000000000006,416.92116808891296
2017-06-26,748.0000000000001,723.9622836112976
2017-06-27,741.0,759.3665928840637
2017-06-28,805.0,764.7612061500549
2017-06-29,680.0,737.714072227478
2017-06-30,784.0,708.1085615158081
2017-07-01,811.0,699.2516069412231
2017-07-02,389.0,392.1803262233734
2017-07-03,801.0,701.4021162986755
2017-07-04,734.0,749.9567513465881
2017-07-05,814.0,753.2284712791443
2017-07-06,652.0,719.5713357925415
2017-07-07,764.0,699.0985150337219
2017-07-08,754.0,680.8946692943573
2017-07-09,341.0,383.89530658721924
2017-07-10,835.0,706.8736295700073
2017-07-11,726.0,744.88276720047
2017-07-12,884.0,746.0518455505371
2017-07-13,764.0,719.3870873451233
2017-07-14,748.0000000000001,710.0749640464783
2017-07-15,615.0,699.0530548095703
2017-07-16,325.0,408.24587738513947
2017-07-17,795.0,722.6072573661804
2017-07-18,777.0,746.7895474433899
2017-07-19,780.9999999999999,745.9351501464844
2017-07-20,758.0,710.8800773620605
2017-07-21,741.0,702.4254670143127
2017-07-22,691.0,693.2592129707336
2017-07-23,382.0,409.3620604276657
2017-07-24,758.0,737.6997685432434
2017-07-25,698.0,757.105477809906
2017-07-26,775.0,754.049870967865
2017-07-27,722.0,705.3425688743591
2017-07-28,711.0000000000001,678.9075193405151
2017-07-29,676.0,669.4459862709045
2017-07-30,316.0,398.20844399929047
2017-07-31,727.0,725.4896621704102
2017-08-01,668.0,746.9723796844482
2017-08-02,941.0,730.0223722457886
2017-08-03,529.0,699.4930701255798
2017-08-04,766.9999999999999,665.7104587554932
2017-08-05,624.0,654.825779914856
2017-08-06,312.0,376.201553106308
2017-08-07,717.0,686.5772681236267
2017-08-08,569.0,708.958568572998
2017-08-09,789.0,701.7520608901978
2017-08-10,736.0,669.1364035606384
2017-08-11,343.0,650.1319055557251
2017-08-12,526.0,635.9265060424805
2017-08-13,266.0,355.6698889732361
2017-08-14,699.0,676.1733913421631
2017-08-15,602.0,698.2853293418884
