date,actual,predicted
2016-09-12,855.0,718.4285714285714
2016-09-13,703.0,732.2857142857143
2016-09-14,773.0,725.4285714285714
2016-09-15,674.0,713.1428571428571
2016-09-16,834.0,704.5714285714286
2016-09-17,789.0,708.0
2016-09-18,419.0,703.5714285714286
2016-09-19,751.0,721.0
2016-09-20,758.0,706.1428571428571
2016-09-21,895.0,714.0
2016-09-22,623.0,731.4285714285714
2016-09-23,737.0,724.1428571428571
2016-09-24,793.0,710.2857142857143
2016-09-25,382.0,710.8571428571429
2016-09-26,750.0,705.5714285714286
2016-09-27,665.0,705.4285714285714
2016-09-28,932.0,692.1428571428571
2016-09-29,539.0,697.4285714285714
2016-09-30,740.0,685.4285714285714
2016-10-01,1004.0,685.8571428571429
2016-10-02,416.0,716.0
2016-10-03,835.0,720.8571428571429
2016-10-04,806.0,733.0
2016-10-05,924.0,753.1428571428571
2016-10-06,691.0,752.0
2016-10-07,793.0,773.7142857142857
2016-10-08,880.0,781.2857142857143
2016-10-09,438.0,763.5714285714286
2016-10-10,729.0,766.7142857142857
2016-10-11,693.0,751.5714285714286
2016-10-12,994.0,735.4285714285714
2016-10-13,693.0,745.4285714285714
2016-10-14,940.0,745.7142857142857
2016-10-15,787.0,766.7142857142857
2016-10-16,430.0,753.4285714285714
2016-10-17,792.0,752.2857142857143
2016-10-18,706.0,761.2857142857143
2016-10-19,958.0,763.1428571428571
2016-10-20,683.0,758.0
2016-10-21,771.0,756.5714285714286
2016-10-22,853.0,732.4285714285714
2016-10-23,401.0,741.8571428571429
2016-10-24,755.0,737.7142857142857
2016-10-25,803.0,732.4285714285714
2016-10-26,884.0,746.2857142857143
2016-10-27,756.0,735.7142857142857
2016-10-28,863.0,746.1428571428571
2016-10-29,770.0,759.2857142857143
2016-10-30,388.0,747.4285714285714
2016-10-31,539.0,745.5714285714286
2016-11-01,799.0,714.7142857142857
2016-11-02,307.0,714.1428571428571
2016-11-03,283.0,631.7142857142857
2016-11-04,542.0,564.1428571428571
2016-11-05,549.0,518.2857142857143
2016-11-06,335.0,486.7142857142857
2016-11-07,880.0,479.14285714285717
2016-11-08,809.0,527.8571428571429
2016-11-09,1161.0,529.2857142857143
2016-11-10,702.0,651.2857142857143
2016-11-11,804.0,711.1428571428571
2016-11-12,857.0,748.5714285714286
2016-11-13,391.0,792.5714285714286
2016-11-14,831.0,800.5714285714286
2016-11-15,862.0,793.5714285714286
2016-11-16,936.0,801.1428571428571
2016-11-17,685.0,769.0
2016-11-18,845.0,766.5714285714286
2016-11-19,881.0,772.4285714285714
2016-11-20,389.0,775.8571428571429
2016-11-21,952.0,775.5714285714286
2016-11-22,707.0,792.8571428571429
2016-11-23,983.0,770.7142857142857
2016-11-24,653.0,777.4285714285714
2016-11-25,711.0,772.8571428571429
2016-11-26,809.0,753.7142857142857
2016-11-27,350.0,743.4285714285714
2016-11-28,883.0,737.8571428571429
2016-11-29,740.0,728.0
2016-11-30,884.0,732.7142857142857
2016-12-01,844.0,718.5714285714286
2016-12-02,915.0,745.8571428571429
2016-12-03,756.0,775.0
2016-12-04,435.0,767.4285714285714
2016-12-05,655.0,779.5714285714286
2016-12-06,313.0,747.0
2016-12-07,969.0,686.0
2016-12-08,740.0,698.1428571428571
2016-12-09,846.0,683.2857142857143
2016-12-10,758.0,673.4285714285714
2016-12-11,359.0,673.7142857142857
2016-12-12,764.0,662.8571428571429
2016-12-13,781.0,678.4285714285714
2016-12-14,836.0,745.2857142857143
2016-12-15,835.0,726.2857142857143
2016-12-16,886.0,739.8571428571429
2016-12-17,832.0,745.5714285714286
2016-12-18,531.0,756.1428571428571
2016-12-19,864.0,780.7142857142857
2016-12-20,924.0,795.0
2016-12-21,1062.0,815.4285714285714
2016-12-22,985.0,847.7142857142857
2016-12-23,1225.0,869.1428571428571
2016-12-24,934.0,917.5714285714286
2016-12-25,0.0,932.1428571428571
2016-12-26,257.0,856.2857142857143
2016-12-27,835.0,769.5714285714286
2016-12-28,712.0,756.8571428571429
2016-12-29,652.0,706.8571428571429
2016-12-30,882.0,659.2857142857143
2016-12-31,631.0,610.2857142857143
2017-01-01,0.0,567.0
2017-01-02,376.0,567.0
2017-01-03,1045.0,584.0
2017-01-04,1029.0,614.0
2017-01-05,853.0,659.2857142857143
2017-01-06,927.0,688.0
2017-01-07,836.0,694.4285714285714
2017-01-08,447.0,723.7142857142857
2017-01-09,853.0,787.5714285714286
2017-01-10,923.0,855.7142857142857
2017-01-11,958.0,838.2857142857143
2017-01-12,674.0,828.1428571428571
2017-01-13,841.0,802.5714285714286
2017-01-14,903.0,790.2857142857143
2017-01-15,466.0,799.8571428571429
2017-01-16,782.0,802.5714285714286
2017-01-17,819.0,792.4285714285714
2017-01-18,926.0,777.5714285714286
2017-01-19,811.0,773.0
2017-01-20,688.0,792.5714285714286
2017-01-21,918.0,770.7142857142857
2017-01-22,349.0,772.8571428571429
2017-01-23,956.0,756.1428571428571
2017-01-24,744.0,781.0
2017-01-25,930.0,770.2857142857143
2017-01-26,719.0,770.8571428571429
2017-01-27,810.0,757.7142857142857
2017-01-28,881.0,775.1428571428571
2017-01-29,329.0,769.8571428571429
2017-01-30,841.0,767.0
2017-01-31,749.0,750.5714285714286
2017-02-01,937.0,751.2857142857143
2017-02-02,768.0,752.2857142857143
2017-02-03,875.0,759.2857142857143
2017-02-04,890.0,768.5714285714286
2017-02-05,380.0,769.8571428571429
2017-02-06,768.0,777.1428571428571
2017-02-07,839.0,766.7142857142857
2017-02-08,871.0,779.5714285714286
2017-02-09,733.0,770.1428571428571
2017-02-10,804.0,765.1428571428571
2017-02-11,850.0,755.0
2017-02-12,374.0,749.2857142857143
2017-02-13,945.0,748.4285714285714
2017-02-14,762.0,773.7142857142857
2017-02-15,863.0,762.7142857142857
2017-02-16,725.0,761.5714285714286
2017-02-17,840.0,760.4285714285714
2017-02-18,963.0,765.5714285714286
2017-02-19,366.0,781.7142857142857
2017-02-20,742.0,780.5714285714286
2017-02-21,780.0,751.5714285714286
2017-02-22,766.0,754.1428571428571
2017-02-23,738.0,740.2857142857143
2017-02-24,791.0,742.1428571428571
2017-02-25,705.0,735.1428571428571
2017-02-26,227.0,698.2857142857143
2017-02-27,183.0,678.4285714285714
2017-02-28,361.0,598.5714285714286
2017-03-01,1162.0,538.7142857142857
2017-03-02,848.0,595.2857142857143
