date,actual,predicted
2016-09-12,855.0,780.1451192151818
2016-09-13,703.0,756.3863483247111
2016-09-14,773.0,880.2637169671544
2016-09-15,674.0,713.2892568522376
2016-09-16,834.0,763.0784848831017
2016-09-17,789.0,807.394096708968
2016-09-18,419.0,436.61978256378706
2016-09-19,751.0,785.0594811414796
2016-09-20,758.0,762.6686794541585
2016-09-21,895.0,887.8763312590806
2016-09-22,623.0,722.1290260936888
2016-09-23,737.0,772.980072970633
2016-09-24,793.0,818.1352382465326
2016-09-25,382.0,447.9284408731472
2016-09-26,750.0,796.622663463827
2016-09-27,665.0,774.1426366128517
2016-09-28,932.0,898.897826842383
2016-09-29,539.0,732.3273275592902
2016-09-30,740.0,781.9892949870433
2016-10-01,1004.0,825.6066576920457
2016-10-02,416.0,453.54240354251016
2016-10-03,835.0,800.0997147188823
2016-10-04,806.0,775.2535314679402
2016-10-05,924.0,897.4721087223886
2016-10-06,691.0,728.2602080927822
2016-10-07,793.0,775.2466184560134
2016-10-08,880.0,816.2277915547315
2016-10-09,438.0,441.64095908267024
2016-10-10,729.0,785.8620673984586
2016-10-11,693.0,758.9351770720713
2016-10-12,994.0,879.3919567734431
2016-10-13,693.0,708.7929764104947
2016-10-14,940.0,754.8135501367684
2016-10-15,787.0,795.2859664364655
2016-10-16,430.0,420.67151427598213
2016-10-17,792.0,765.3576745084183
2016-10-18,706.0,739.3871462606724
2016-10-19,958.0,861.2773491239218
2016-10-20,683.0,692.5621058159968
2016-10-21,771.0,740.8782441534851
2016-10-22,853.0,784.0089325415419
2016-10-23,401.0,412.3571244494485
2016-10-24,755.0,760.2444380470431
2016-10-25,803.0,737.6420894578781
2016-10-26,884.0,862.9924625871797
2016-10-27,756.0,697.7529573336984
2016-10-28,863.0,749.4847892214245
2016-10-29,770.0,795.8984877951361
2016-10-30,388.0,427.329403470682
2016-10-31,539.0,778.038486197653
2016-11-01,799.0,757.9448966019781
2016-11-02,307.0,885.4489814444255
2016-11-03,283.0,721.9772124177375
2016-11-04,542.0,775.0717281519484
2016-11-05,549.0,822.4362042891596
2016-11-06,335.0,454.4113501611216
